spike	Rngerm.CD.R13.star	Rngerm.CD.R14.star	Rngerm.CD.R15.star	Rngerm.CD.R16.star	Rngerm.HFD.R10.star	Rngerm.HFD.R11.star	Rngerm.HFD.R12.star	Rngerm.HFD.R9.star
spike-in_8.5_3.55_33	408	298	562	460	6860	4373	4781	4338
spike-in_8.5_3.55_34	338	291	473	407	5966	3686	5240	2795
spike-in_7.5_1.15_35	138	128	201	251	516	367	355	323
spike-in_7.5_1.15_36	204	173	287	311	806	463	528	441
spike-in_7.5_1.15_37	171	117	192	235	524	396	425	251
spike-in_7.5_1.15_38	205	188	284	297	832	423	441	402
spike-in_7.5_1.15_39	118	120	230	246	539	328	341	347
spike-in_7.5_1.15_40	182	199	331	287	802	456	505	425
spike-in_7.5_1.15_41	136	116	248	164	498	302	317	340
spike-in_7.5_1.15_42	179	172	230	288	566	416	636	280
spike-in_7.5_1.15_43	97	129	140	230	524	190	372	210
spike-in_7.5_1.15_44	250	220	323	202	760	513	505	508
spike-in_7.5_1.15_45	141	107	165	160	423	250	342	242
spike-in_7.5_1.15_46	199	178	232	168	559	361	445	338
spike-in_7.5_1.15_47	133	200	168	142	488	305	366	321
spike-in_7.5_1.15_48	221	227	220	216	700	435	440	357
spike-in_7.5_1.15_49	114	99	188	170	407	301	246	289
spike-in_7.5_1.15_50	96	106	154	159	337	290	299	200
spike-in_7.5_1.15_51	94	108	217	240	454	368	334	291
spike-in_7.5_1.15_52	121	104	182	148	462	249	235	264
spike-in_7.5_1.15_53	145	130	193	187	538	305	308	308
spike-in_7.5_1.15_54	114	89	172	137	377	302	252	244
spike-in_7.5_1.15_55	202	234	216	131	580	466	305	389
spike-in_7.5_1.15_56	253	202	296	207	751	455	530	445
spike-in_7.5_1.15_57	177	118	232	226	613	338	345	378
spike-in_7.5_1.15_58	186	143	181	132	473	373	288	288
spike-in_7.5_1.15_59	116	108	174	146	409	318	304	206
spike-in_7.5_1.15_60	165	130	177	158	446	364	275	340
spike-in_7.5_1.15_61	99	76	182	188	423	296	265	244
spike-in_7.5_1.15_62	221	201	274	233	699	390	501	439
spike-in_7.5_1.15_63	164	203	196	179	540	356	348	352
spike-in_7.5_1.15_64	229	204	236	171	671	396	345	468
spike-in_7.5_1.15_65	121	146	215	148	455	340	385	216
spike-in_11.5_0.45_66	4549	3249	4629	3886	7536	5007	5255	5099
spike-in_11.5_0.45_67	2633	2292	3922	3170	6034	3056	4223	2982
spike-in_11.5_0.45_68	2483	2224	3449	2795	4990	3227	3265	3098
spike-in_11.5_0.45_69	2134	1957	2998	1951	4171	2822	2866	2708
spike-in_11.5_0.45_70	2151	1892	2429	1891	3949	2724	2461	2562
spike-in_11.5_0.45_71	3001	1862	3787	2673	5444	3429	3687	3338
spike-in_11.5_0.45_72	3633	3030	4365	3695	7117	4730	5095	3868
spike-in_11.5_0.45_73	2167	1969	3254	2620	4668	2873	3143	2983
spike-in_11.5_0.45_74	2925	2598	4441	3887	6203	4166	4308	4091
spike-in_11.5_0.45_75	2429	2078	3294	2645	4133	3733	3671	2423
spike-in_11.5_0.45_76	1919	1838	2795	2612	4078	2891	2989	2731
spike-in_11.5_0.45_77	3341	2820	4469	3489	5975	5280	4978	3591
spike-in_11.5_0.45_78	3747	2670	3066	2536	5787	3311	3817	3900
spike-in_11.5_0.45_79	2701	2323	3678	3144	4591	4691	3965	3276
spike-in_11.5_0.45_80	2308	1952	2769	2608	4148	3480	3524	1813
spike-in_11.5_0.45_81	2338	2133	3696	2936	5675	3115	3892	2983
spike-in_11.5_0.45_82	3174	2713	4412	4726	7371	4056	5035	3509
spike-in_11.5_0.45_83	1901	1485	2586	2349	4175	2064	2948	1856
spike-in_11.5_0.45_84	3357	3005	3541	1870	5089	3431	3617	3414
spike-in_9.5_3.95_85	677	515	727	554	12701	9167	8005	8623
spike-in_9.5_3.95_86	841	673	836	596	16472	9235	11696	8078
spike-in_9.5_3.95_87	533	456	808	760	13110	8434	8105	8837
spike-in_9.5_3.95_88	566	534	665	704	11448	7591	13853	5368
spike-in_9.5_3.95_89	602	579	969	848	15835	10148	9775	10015
spike-in_9.5_3.95_90	1333	901	936	892	19412	15011	16767	11477
spike-in_9.5_3.95_91	567	474	788	798	13134	9880	10754	7633
spike-in_9.5_3.95_92	639	548	888	811	14262	9845	11148	7905
spike-in_9.5_3.95_93	578	492	938	723	14066	9096	9457	8958
spike-in_9.5_3.95_94	458	346	912	731	13110	8434	8105	8837
spike-in_9.5_3.95_95	722	608	1028	780	16215	9742	11525	10639
spike-in_9.5_3.95_96	592	509	763	759	11462	10353	9814	8481
spike-in_9.5_3.95_97	529	535	712	521	10614	8113	9459	6502
spike-in_9.5_3.95_98	762	577	1053	997	16216	13724	13684	9989
spike-in_9.5_3.95_99	470	394	722	646	11016	8369	8435	6006
spike-in_9.5_3.95_100	467	527	796	659	12347	8505	8909	8052
spike-in_9.5_3.95_101	859	779	1147	857	16646	13772	14060	11005
spike-in_9.5_3.95_102	904	766	1349	1071	18048	18446	15697	11174
spike-in_9.5_3.95_103	495	452	766	746	12900	8149	8501	8300
spike-in_9.5_3.95_104	740	639	523	352	11016	8369	8435	6006
spike-in_9.5_3.95_105	396	416	694	829	10966	8674	9113	6858
spike-in_9.5_3.95_106	548	540	869	771	14150	10060	10856	7659
spike-in_9.5_3.95_107	397	435	696	631	10935	7322	7808	6639
spike-in_8.5_0.75_108	215	197	365	318	594	360	460	448
spike-in_8.5_0.75_109	308	387	289	201	659	532	456	392
spike-in_8.5_0.75_110	280	290	359	328	680	443	435	509
spike-in_8.5_0.75_111	410	386	626	607	1184	799	804	678
spike-in_8.5_0.75_112	396	423	519	342	959	589	621	597
spike-in_8.5_0.75_113	307	250	307	160	566	358	451	347
spike-in_8.5_0.75_114	276	220	312	236	613	380	400	390
spike-in_8.5_0.75_115	542	357	549	424	982	686	674	720
spike-in_8.5_0.75_116	423	285	340	573	995	580	575	596
spike-in_8.5_0.75_117	463	356	560	658	1177	786	740	709
spike-in_8.5_0.75_118	330	244	453	556	996	845	319	482
spike-in_8.5_0.75_119	288	234	506	438	829	573	593	501
spike-in_8.5_0.75_120	356	370	545	438	903	684	654	623
spike-in_8.5_0.75_121	286	295	376	270	637	332	589	495
spike-in_8.5_0.75_122	404	265	299	249	717	478	438	417
spike-in_8.5_0.75_123	336	254	287	213	685	359	444	385
spike-in_8.5_0.75_124	246	224	331	393	516	541	544	403
spike-in_8.5_0.75_125	319	345	500	362	836	613	592	539
spike-in_8.5_0.75_126	309	258	457	494	848	563	630	531
spike-in_8.5_0.75_127	650	511	475	329	1152	648	869	530
spike-in_8.5_0.75_128	317	330	567	502	1102	584	631	639
spike-in_8.5_0.75_129	240	197	325	322	622	359	414	397
spike-in_8.5_0.75_130	394	329	458	360	943	464	622	529
spike-in_8.5_0.75_131	363	314	702	590	1053	708	821	649
spike-in_8.5_0.75_132	328	310	577	364	885	642	635	575
spike-in_8.5_0.75_133	499	417	408	325	958	591	622	598
spike-in_8.5_0.75_134	231	210	328	282	794	466	257	254
spike-in_8.5_0.75_135	425	337	642	511	1214	648	861	475
spike-in_8.5_0.75_136	469	355	553	375	1113	589	783	510
spike-in_8.5_0.75_137	457	400	504	544	1114	699	886	511
spike-in_8.5_0.75_138	437	302	418	160	870	405	516	421
spike-in_8.5_0.75_139	504	494	575	385	1153	691	775	772
spike-in_8.5_0.75_140	246	195	337	321	602	432	489	370
spike-in_8.5_0.75_141	288	175	288	337	614	405	395	358
spike-in_8.5_0.75_142	318	283	478	434	845	595	608	529
spike-in_8.5_0.75_143	414	352	387	366	943	464	622	529
spike-in_8.5_0.75_144	282	249	335	208	624	352	464	360
spike-in_8.5_0.75_145	210	202	372	315	578	498	430	375
spike-in_8.5_0.75_146	531	434	435	240	1000	582	641	579
spike-in_8.5_0.75_147	325	311	293	235	638	399	487	447
spike-in_8.5_0.75_148	359	407	686	271	999	643	656	630
spike-in_8.5_0.75_149	280	244	271	236	570	415	398	352
spike-in_6.5_3.65_150	60	47	100	70	1227	796	779	691
spike-in_6.5_3.65_151	50	50	98	84	1237	812	878	775
spike-in_6.5_3.65_152	56	52	80	67	1054	755	754	765
spike-in_6.5_3.65_153	84	68	146	104	1603	1174	1090	1173
spike-in_6.5_3.65_154	91	94	140	124	1943	1237	1766	936
spike-in_6.5_3.65_155	94	71	110	91	1574	905	1031	1008
spike-in_6.5_3.65_156	63	64	89	49	1125	719	802	663
spike-in_6.5_3.65_157	106	90	78	109	1650	1115	1175	919
spike-in_6.5_3.65_158	74	59	133	91	1648	1106	994	860
spike-in_6.5_3.65_159	70	38	114	102	1337	857	955	846
spike-in_6.5_3.65_160	74	51	64	120	1380	783	992	883
spike-in_6.5_3.65_161	109	83	90	75	1861	792	1260	735
spike-in_6.5_3.65_162	81	66	109	113	1596	1044	1057	980
spike-in_6.5_3.65_163	66	70	56	74	1145	815	671	799
spike-in_6.5_3.65_164	72	92	83	92	1374	1173	1076	686
spike-in_6.5_3.65_165	91	88	146	85	1443	1319	1254	1233
spike-in_6.5_3.65_166	122	96	125	71	2027	970	1235	959
spike-in_6.5_3.65_167	91	93	146	176	2509	1240	1674	1041
spike-in_6.5_3.65_168	52	50	69	125	1289	836	811	789
spike-in_6.5_3.65_169	39	15	142	128	1451	1024	864	902
spike-in_6.5_3.65_170	64	40	90	72	1182	784	768	736
spike-in_6.5_3.65_171	127	77	165	91	2027	1182	1418	1308
spike-in_6.5_3.65_172	89	99	124	140	1881	1272	1226	1195
spike-in_6.5_3.65_173	75	81	86	84	1396	736	1018	896
spike-in_6.5_3.65_174	121	79	137	115	1906	1190	1316	1190
spike-in_6.5_3.65_175	59	78	103	49	1129	808	1002	637
spike-in_6.5_3.65_176	122	111	104	145	1901	1489	1208	1344
spike-in_6.5_3.65_177	83	60	112	90	1542	1008	981	918
spike-in_6.5_3.65_178	50	68	86	100	1313	779	883	814
spike-in_6.5_3.65_179	66	50	100	62	944	1006	888	664
spike-in_6.5_3.65_180	67	54	80	86	1665	532	984	528
spike-in_6.5_3.65_181	120	96	96	88	1613	1036	1183	1076
spike-in_6.5_3.65_182	72	140	109	96	1645	1176	1237	1102
spike-in_6.5_3.65_183	46	58	54	108	1108	655	749	813
spike-in_6.5_3.65_184	79	52	60	132	1369	849	1077	768
spike-in_6.5_3.65_185	116	104	92	58	1585	1015	1131	970
spike-in_6.5_3.65_186	74	32	77	97	1185	1074	936	483
spike-in_6.5_3.65_187	37	72	111	71	1204	854	908	747
spike-in_6.5_3.65_188	80	51	66	87	1243	785	837	744
spike-in_6.5_3.65_189	76	75	158	152	1953	1228	1237	1435
spike-in_6.5_3.65_190	86	115	118	81	1541	1278	1113	1240
spike-in_6.5_3.65_191	80	101	90	85	1572	1042	1174	676
spike-in_6.5_3.65_192	87	82	152	136	1839	1372	1277	1231
spike-in_6.5_3.65_193	84	64	99	78	1428	907	943	862
spike-in_6.5_3.65_194	89	39	127	48	1335	899	922	812
spike-in_6.5_3.65_195	78	58	83	66	1265	795	834	813
spike-in_6.5_3.65_196	81	57	117	73	1359	958	821	884
spike-in_6.5_3.65_197	78	89	119	101	1713	1104	1097	1104
spike-in_6.5_3.65_198	77	36	101	97	1251	835	872	869
spike-in_6.5_3.65_199	128	135	125	97	2035	1443	1373	1170
spike-in_6.5_3.65_200	97	92	141	117	1880	1325	1422	1200
spike-in_5.5_0.65_201	47	24	40	45	72	62	58	56
spike-in_5.5_0.65_202	64	42	54	29	90	68	88	47
spike-in_5.5_0.65_203	55	36	74	56	127	70	68	76
spike-in_5.5_0.65_204	56	73	56	63	120	93	117	63
spike-in_5.5_0.65_205	16	21	39	62	62	79	45	36
spike-in_5.5_0.65_206	28	15	63	26	56	51	54	46
spike-in_5.5_0.65_207	45	15	56	37	91	58	46	48
spike-in_5.5_0.65_208	55	55	50	49	114	78	102	45
spike-in_5.5_0.65_209	52	46	33	55	95	59	56	78
spike-in_5.5_0.65_210	64	33	54	56	104	80	89	51
spike-in_5.5_0.65_211	47	50	41	48	103	78	60	51
spike-in_5.5_0.65_212	28	14	42	45	58	52	65	28
spike-in_5.5_0.65_213	29	26	45	47	79	57	45	57
spike-in_5.5_0.65_214	23	37	46	44	92	53	42	53
spike-in_5.5_0.65_215	42	30	30	82	111	73	68	42
spike-in_5.5_0.65_216	59	32	56	46	118	62	67	58
spike-in_5.5_0.65_217	58	55	65	57	107	89	90	79
spike-in_5.5_0.65_218	24	44	31	46	83	30	62	56
spike-in_5.5_0.65_219	45	59	23	30	90	63	51	47
spike-in_5.5_0.65_220	60	42	73	46	146	56	90	64
spike-in_5.5_0.65_221	32	31	43	40	75	53	59	37
spike-in_5.5_0.65_222	43	29	41	61	106	43	69	59
spike-in_5.5_0.65_223	36	30	64	54	80	76	76	56
spike-in_5.5_0.65_224	23	43	39	60	104	48	53	48
spike-in_5.5_0.65_225	29	13	36	61	68	41	69	37
spike-in_5.5_0.65_226	59	73	74	28	139	64	102	59
spike-in_5.5_0.65_227	36	52	25	31	83	70	59	24
spike-in_5.5_0.65_228	28	15	63	26	61	42	40	61
spike-in_5.5_0.65_229	46	35	94	59	150	67	87	78
spike-in_5.5_0.65_230	37	24	35	30	65	47	39	47
spike-in_5.5_0.65_231	44	28	27	52	59	53	46	75
spike-in_5.5_0.65_232	30	43	60	73	110	73	85	50
spike-in_5.5_0.65_233	56	28	36	82	91	81	57	84
spike-in_5.5_0.65_234	48	51	61	45	118	78	88	47
spike-in_5.5_0.65_235	31	30	49	44	96	52	40	54
spike-in_5.5_0.65_236	40	40	63	85	182	119	13	34
spike-in_5.5_0.65_237	75	46	68	25	114	53	88	77
spike-in_5.5_0.65_238	38	52	70	82	143	94	80	73
spike-in_5.5_0.65_239	43	34	42	42	96	42	56	55
spike-in_5.5_0.65_240	35	22	38	55	80	48	67	35
spike-in_5.5_0.65_241	34	40	66	33	136	53	36	49
spike-in_5.5_0.65_242	58	14	44	72	109	78	43	60
spike-in_5.5_0.65_243	65	32	57	65	92	96	88	80
spike-in_9.5_2.75_244	772	753	780	404	5766	4285	3701	3901
spike-in_9.5_2.75_245	999	749	843	638	6115	5916	5827	3699
spike-in_9.5_2.75_246	897	702	884	709	6999	4800	4608	4509
spike-in_9.5_2.75_247	731	670	1223	950	7911	5331	5023	5483
spike-in_9.5_2.75_248	616	526	888	1051	6130	5536	5402	3781
spike-in_9.5_2.75_249	613	551	968	816	6834	4274	4451	4192
spike-in_9.5_2.75_250	844	836	860	465	6650	4693	4790	4383
spike-in_9.5_2.75_251	560	518	742	692	5808	3498	3992	3549
spike-in_9.5_2.75_252	555	467	676	387	5049	3137	3214	3086
spike-in_9.5_2.75_253	635	504	730	747	5569	3899	3824	3829
spike-in_9.5_2.75_254	577	467	704	517	5513	3093	3913	3041
spike-in_9.5_2.75_255	1142	992	1083	784	9292	5566	6303	5680
spike-in_9.5_2.75_256	598	566	915	931	6880	4351	4724	3808
spike-in_9.5_2.75_257	456	558	698	569	4871	3560	3690	3248
spike-in_9.5_2.75_258	461	394	683	690	5009	3221	3142	3265
spike-in_9.5_2.75_259	1114	842	1291	822	9201	5917	6109	5738
spike-in_9.5_2.75_260	662	485	628	401	5107	3196	3213	3107
spike-in_9.5_2.75_261	430	424	743	745	5044	3257	3636	3570
spike-in_9.5_2.75_262	503	555	734	351	4687	3217	3251	3060
spike-in_9.5_2.75_263	512	461	800	848	5804	4080	4116	3793
spike-in_9.5_2.75_264	384	325	674	746	4831	3040	3346	2889
spike-in_9.5_2.75_265	588	543	561	434	5122	3083	3776	2733
spike-in_9.5_2.75_266	1118	923	1263	644	9418	5132	7254	4061
spike-in_9.5_2.75_267	1003	966	1079	698	7986	6245	6141	5064
spike-in_9.5_2.75_268	583	472	906	749	6196	4224	4286	3990
spike-in_9.5_2.75_269	863	692	1093	809	7304	5973	5815	4414
spike-in_9.5_2.75_270	841	740	707	724	6192	5071	4860	3926
spike-in_9.5_2.75_271	609	585	1029	946	7197	4361	4549	4716
spike-in_9.5_2.75_272	607	511	940	943	7039	4353	4338	4389
spike-in_6.5_0.85_273	39	59	104	137	205	146	140	118
spike-in_6.5_0.85_274	77	60	136	157	295	189	159	160
spike-in_6.5_0.85_275	66	66	108	39	205	147	58	95
spike-in_6.5_0.85_276	96	95	84	103	218	158	146	180
spike-in_6.5_0.85_277	50	61	87	62	169	90	118	98
spike-in_6.5_0.85_278	107	86	113	68	240	114	184	120
spike-in_6.5_0.85_279	106	106	140	104	257	187	200	210
spike-in_6.5_0.85_280	69	68	127	64	167	150	118	166
spike-in_6.5_0.85_281	122	86	148	128	321	187	189	207
spike-in_6.5_0.85_282	102	133	127	91	291	160	225	137
spike-in_6.5_0.85_283	54	82	124	103	233	145	146	129
spike-in_6.5_0.85_284	88	74	84	89	215	129	129	149
spike-in_6.5_0.85_285	106	111	98	93	268	148	166	150
spike-in_6.5_0.85_286	148	109	97	92	284	156	209	143
spike-in_6.5_0.85_287	128	119	144	88	275	211	184	182
spike-in_6.5_0.85_288	98	87	133	131	318	156	184	163
spike-in_6.5_0.85_289	90	78	120	100	231	172	151	161
spike-in_6.5_0.85_290	77	64	96	117	222	134	127	173
spike-in_6.5_0.85_291	106	106	98	52	205	152	177	119
spike-in_6.5_0.85_292	162	92	79	69	256	165	150	150
spike-in_6.5_0.85_293	155	84	123	109	334	172	216	152
spike-in_6.5_0.85_294	78	48	97	80	162	132	149	96
spike-in_6.5_0.85_295	117	102	139	123	260	208	244	186
spike-in_6.5_0.85_296	56	60	133	72	175	136	136	145
spike-in_6.5_0.85_297	47	46	81	90	145	136	123	75
spike-in_6.5_0.85_298	88	96	62	39	174	143	101	97
spike-in_6.5_0.85_299	82	58	120	155	274	171	167	152
spike-in_6.5_0.85_300	80	52	48	98	157	122	134	97
spike-in_6.5_0.85_301	58	58	70	86	141	124	125	119
spike-in_6.5_0.85_302	28	53	98	86	170	119	94	112
spike-in_6.5_0.85_303	84	54	97	91	207	130	154	97
spike-in_6.5_0.85_304	111	58	66	55	168	132	120	116
spike-in_6.5_0.85_305	80	50	87	95	182	148	115	135
spike-in_6.5_0.85_306	91	88	146	85	301	132	183	111
spike-in_6.5_0.85_307	123	120	81	153	250	206	206	184
spike-in_6.5_0.85_308	73	58	73	79	148	129	103	116
spike-in_6.5_0.85_309	89	111	114	119	272	208	212	112
spike-in_6.5_0.85_310	68	61	92	138	223	120	139	147
spike-in_6.5_0.85_311	102	101	123	75	231	150	195	127
spike-in_6.5_0.85_312	125	134	119	109	338	232	186	142
spike-in_6.5_0.85_313	85	57	73	64	240	73	120	82
spike-in_6.5_0.85_314	84	91	140	89	264	179	123	151
spike-in_6.5_0.85_315	40	48	74	96	114	80	134	132
spike-in_6.5_0.85_316	100	98	143	117	252	189	245	165
spike-in_10.5_3.15_317	1533	1321	1905	1299	18086	11209	12032	11390
spike-in_10.5_3.15_318	994	887	1631	1054	13641	9012	9365	8607
spike-in_10.5_3.15_319	856	769	1932	1747	16391	10486	10782	10725
spike-in_10.5_3.15_320	1669	1515	2394	2294	23983	15909	16479	15579
spike-in_10.5_3.15_321	1824	1550	2273	1913	22063	14609	14560	14455
spike-in_10.5_3.15_322	1671	1566	2293	1630	18048	18446	15697	11174
spike-in_10.5_3.15_323	965	954	1605	1814	15916	10290	10536	10633
spike-in_10.5_3.15_324	941	917	1637	1366	13255	11526	11502	7400
spike-in_10.5_3.15_325	899	912	1335	1078	10976	9266	10065	6197
spike-in_10.5_3.15_326	987	743	1359	1183	12229	8220	8127	8469
spike-in_10.5_3.15_327	1614	1596	2331	1763	18967	16970	17397	11441
spike-in_10.5_3.15_328	1224	1032	1997	1800	19769	11504	13309	10429
spike-in_10.5_3.15_329	988	899	1375	1626	14193	9801	9724	9694
spike-in_10.5_3.15_330	1176	1085	1628	1039	14081	9225	9753	9235
spike-in_10.5_3.15_331	1121	745	1936	1180	14516	8670	10313	9503
spike-in_10.5_3.15_332	846	760	1315	1293	12061	8042	8592	7653
spike-in_10.5_3.15_333	1528	1304	1833	1563	18872	12899	12606	11554
spike-in_10.5_3.15_334	1500	1224	2096	1983	19516	14880	15124	12038
spike-in_10.5_3.15_335	1550	1345	1843	1492	18060	13829	12834	12341
spike-in_10.5_3.15_336	1321	1143	1833	1465	16023	13414	12938	9019
spike-in_10.5_3.15_337	1081	812	1463	952	12694	9955	10195	6604
spike-in_10.5_3.15_338	1534	1127	1044	803	13375	8688	9383	8166
spike-in_10.5_3.15_339	1508	1470	2068	1491	18914	13903	13588	12090
spike-in_10.5_3.15_340	902	805	1392	1395	13150	9283	9704	7962
spike-in_10.5_3.15_341	2217	1680	1770	1647	22063	14609	14560	14455
spike-in_10.5_3.15_342	1369	1066	1752	1711	18118	11315	12430	11012
spike-in_12.5_1.15_343	7007	5503	7215	6231	18990	13930	14872	11778
spike-in_12.5_1.15_344	5910	4980	6907	5038	15883	11397	11887	10143
spike-in_12.5_1.15_345	4696	4135	6963	6477	15490	11662	11616	9554
spike-in_12.5_1.15_346	5354	4457	5672	3862	11976	11406	9140	9494
spike-in_12.5_1.15_347	8889	6732	7919	5504	21011	14477	15664	13513
spike-in_12.5_1.15_348	3903	3434	4798	4259	11983	8630	8817	7169
spike-in_12.5_1.15_349	5483	5109	7315	5669	17741	11550	11727	11674
spike-in_12.5_1.15_350	5124	4455	7482	6191	14906	13993	13788	9415
spike-in_12.5_1.15_351	8367	6347	7858	5629	20725	13990	15397	13531
spike-in_12.5_1.15_352	3978	3290	5115	4866	13078	8124	9252	8315
spike-in_12.5_1.15_353	5722	4757	7068	3925	15957	10496	11431	9404
spike-in_12.5_1.15_354	3740	3212	5965	4846	12661	8276	9303	7913
spike-in_7.5_4.65_355	224	132	244	222	7269	4613	4638	4729
spike-in_7.5_4.65_356	145	132	226	134	5419	3733	3633	3574
spike-in_7.5_4.65_357	217	79	158	97	4911	3044	3384	2872
spike-in_7.5_4.65_358	132	90	178	205	4827	3404	3545	3090
spike-in_7.5_4.65_359	124	100	164	150	4351	3136	3452	2567
spike-in_7.5_4.65_360	208	114	114	287	5394	4269	4720	3519
spike-in_7.5_4.65_361	145	147	239	191	5997	3884	4202	3783
spike-in_7.5_4.65_362	140	152	204	236	6111	4275	4287	4024
spike-in_7.5_4.65_363	130	120	182	106	4734	3307	3049	2951
spike-in_7.5_4.65_364	186	156	167	315	6882	4379	4636	4362
spike-in_7.5_4.65_365	156	124	194	233	5291	4343	4874	3244
spike-in_7.5_4.65_366	169	179	209	258	7146	4287	5157	3978
spike-in_7.5_4.65_367	204	216	310	188	7790	5155	5756	4501
spike-in_7.5_4.65_368	173	164	224	208	6617	4586	4036	4484
spike-in_7.5_4.65_369	215	174	267	174	7236	4563	4614	4924
spike-in_7.5_4.65_370	114	79	186	134	4621	2730	3416	2395
spike-in_7.5_4.65_371	190	300	216	314	8613	5671	5663	5422
spike-in_7.5_4.65_372	278	175	307	205	8225	5266	5828	4917
spike-in_7.5_4.65_373	193	172	313	296	8372	5529	5142	5292
spike-in_7.5_4.65_374	169	172	196	146	5541	3859	4106	3169
spike-in_7.5_4.65_375	173	130	213	274	6772	4284	4486	3946
spike-in_7.5_4.65_376	128	144	183	228	6039	3782	4148	3496
spike-in_7.5_4.65_377	153	166	183	98	4751	3604	3560	3108
spike-in_7.5_4.65_378	205	163	300	261	7710	5084	5228	5021
spike-in_7.5_4.65_379	152	157	208	218	5833	5220	4672	3240
spike-in_7.5_4.65_380	152	119	257	229	7308	3718	5225	3359
spike-in_7.5_4.65_381	198	204	360	253	8550	5587	5937	5678
spike-in_7.5_4.65_382	139	164	197	262	6551	4257	4612	4192
spike-in_7.5_4.65_383	116	136	210	196	5787	3311	3817	3900
spike-in_7.5_4.65_384	175	146	230	140	5046	4784	3962	3952
spike-in_7.5_4.65_385	202	222	209	152	6791	4544	4835	4205
spike-in_7.5_4.65_386	219	163	357	203	7097	5944	5820	4252
spike-in_7.5_4.65_387	185	179	253	338	8417	5113	5161	6081
spike-in_7.5_4.65_388	139	139	157	224	5648	3536	3668	3449
spike-in_7.5_4.65_389	147	101	173	142	4904	3112	3102	2648
spike-in_7.5_4.65_390	161	56	107	186	4183	2944	2902	2705
spike-in_7.5_4.65_391	149	98	197	273	5322	5035	4376	3269
spike-in_7.5_4.65_392	224	132	244	222	7454	4386	5317	3492
spike-in_7.5_4.65_393	189	137	174	95	4990	3227	3265	3098
spike-in_7.5_4.65_394	171	164	217	198	6351	4487	4939	3797
spike-in_7.5_4.65_395	145	115	138	161	4682	3097	3210	2666
spike-in_8.5_4.45_396	287	393	452	335	11447	7071	7952	6025
spike-in_8.5_4.45_397	287	262	384	237	8876	5399	5967	5528
spike-in_8.5_4.45_398	410	361	593	600	14434	9032	9452	8644
spike-in_8.5_4.45_399	343	351	508	593	15164	7485	10853	6595
spike-in_8.5_4.45_400	396	300	602	322	12008	8068	7603	7159
spike-in_8.5_4.45_401	253	259	359	302	8220	5858	5678	5757
spike-in_8.5_4.45_402	371	316	320	496	11150	7119	7777	6871
spike-in_8.5_4.45_403	385	330	448	361	11388	7095	7502	6857
spike-in_8.5_4.45_404	463	360	418	254	13037	5564	8658	5481
spike-in_8.5_4.45_405	295	305	248	359	8673	5666	5732	5670
spike-in_8.5_4.45_406	210	178	290	375	7174	5254	5544	4370
